start_time,end_time,room_set
1392077297.0,1392077297.0,"6,2,4,1"
1392077298.0,1392077298.0,"6,2,4,3,1"
1392077298.0,1392077298.0,"6,2,4,1"
1392077299.0,1392077299.0,"6,2,4,3,1"
1392077299.0,1392077299.0,"6,2,4,1"
1392077300.0,1392077300.0,"6,2,4,3,1"
1392077300.0,1392077300.0,"6,2,4,1"
1392077301.0,1392077301.0,"6,2,4,3,1"
1392077301.0,1392077301.0,"6,2,4,1"
1392077302.0,1392077302.0,"6,2,4,3,1"
1392077302.0,1392077302.0,"6,2,4,1"
1392077303.0,1392077303.0,"6,2,4,3,1"
1392077303.0,1392077303.0,"6,2,4,1"
1392077304.0,1392077304.0,"6,2,4,3,1"
1392077304.0,1392077304.0,"6,2,4,1"
1392077305.0,1392077305.0,"6,2,4,3,1"
1392077305.0,1392077305.0,"6,2,4,1"
1392077306.0,1392077306.0,"6,2,4,3,1"
1392077306.0,1392077306.0,"6,2,4,1"
1392077307.0,1392077307.0,"6,2,4,3,1"
1392077307.0,1392077307.0,"6,2,4,1"
1392077308.0,1392077308.0,"6,2,4,3,1"
1392077308.0,1392077308.0,"6,2,4,1"
1392077309.0,1392077309.0,"6,2,4,3,1"
1392077309.0,1392077309.0,"6,2,4,1"
1392077310.0,1392077310.0,"6,2,4,3,1"
1392077310.0,1392077310.0,"6,2,4,1"
1392077311.0,1392077311.0,"6,2,4,3,1"
1392077311.0,1392077311.0,"6,2,4,1"
1392077312.0,1392077312.0,"6,2,4,3,1"
1392077312.0,1392077312.0,"6,2,4,1"
1392077313.0,1392077313.0,"6,2,4,3,1"
1392077313.0,1392077313.0,"6,2,4,1"
1392077314.0,1392077314.0,"6,2,4,3,1"
1392077314.0,1392077314.0,"6,2,4,1"
1392077315.0,1392077315.0,"6,2,4,3,1"
1392077315.0,1392077315.0,"6,2,4,1"
1392077316.0,1392077316.0,"6,2,4,3,1"
1392077316.0,1392077316.0,"6,2,4,1"
1392077317.0,1392077317.0,"6,2,4,3,1"
1392077317.0,1392077317.0,"6,2,4,1"
1392077318.0,1392077318.0,"6,2,4,3,1"
1392077318.0,1392077318.0,"6,2,4,1"
1392077319.0,1392077319.0,"6,2,4,3,1"
1392077319.0,1392077319.0,"6,2,4,1"
1392077320.0,1392077320.0,"6,2,4,3,1"
1392077320.0,1392077320.0,"6,2,4,1"
1392077321.0,1392077321.0,"6,2,4,3,1"
1392077321.0,1392077321.0,"6,2,4,1"
1392077322.0,1392077322.0,"6,2,4,3,1"
1392077322.0,1392077322.0,"6,2,4,1"
1392077323.0,1392077323.0,"6,2,4,3,1"
1392077323.0,1392077323.0,"6,2,4,1"
1392077324.0,1392077324.0,"6,2,4,3,1"
1392077324.0,1392077324.0,"6,2,4,1"
1392077325.0,1392077325.0,"6,2,4,3,1"
1392077325.0,1392077325.0,"6,2,4,1"
1392077326.0,1392077326.0,"6,2,4,3,1"
1392077326.0,1392077326.0,"6,2,4,1"
1392077327.0,1392077327.0,"6,2,4,3,1"
1392077327.0,1392077327.0,"6,2,4,1"
1392077328.0,1392077328.0,"6,2,4,3,1"
1392077328.0,1392077328.0,"6,2,4,1"
1392077329.0,1392077329.0,"6,2,4,3,1"
1392077329.0,1392077329.0,"6,2,4,1"
1392077330.0,1392077330.0,"6,2,4,3,1"
1392077330.0,1392077330.0,"6,2,4,1"
1392077331.0,1392077331.0,"6,2,4,3,1"
1392077331.0,1392077331.0,"6,2,4,1"
1392077332.0,1392077332.0,"6,2,4,3,1"
1392077332.0,1392077332.0,"6,2,4,1"
1392077333.0,1392077333.0,"6,2,4,3,1"
1392077333.0,1392077333.0,"6,2,4,1"
1392077334.0,1392077334.0,"6,2,4,3,1"
1392077334.0,1392077334.0,"6,2,4,1"
1392077335.0,1392077335.0,"6,2,4,3,1"
1392077335.0,1392077335.0,"6,2,4,1"
1392077336.0,1392077336.0,"6,2,4,3,1"
1392077336.0,1392077336.0,"6,2,4,1"
1392077337.0,1392077337.0,"6,2,4,3,1"
1392077337.0,1392077337.0,"6,2,4,1"
1392077338.0,1392077338.0,"6,2,4,3,1"
1392077338.0,1392077338.0,"6,2,4,1"
1392077339.0,1392077339.0,"6,2,4,3,1"
1392077339.0,1392077339.0,"6,2,4,1"
1392077340.0,1392077340.0,"6,2,4,3,1"
1392077340.0,1392077340.0,"6,2,4,1"
1392077341.0,1392077341.0,"6,2,4,3,1"
1392077341.0,1392077341.0,"6,2,4,1"
1392077342.0,1392077342.0,"6,2,4,3,1"
1392077342.0,1392077342.0,"6,2,4,1"
1392077343.0,1392077343.0,"6,2,4,3,1"
1392077343.0,1392077343.0,"6,2,4,1"
1392077344.0,1392077344.0,"6,2,4,3,1"
1392077344.0,1392077344.0,"6,2,4,1"
1392077345.0,1392077345.0,"6,2,4,3,1"
1392077345.0,1392077345.0,"6,2,4,1"
1392077346.0,1392077346.0,"6,2,4,3,1"
1392077346.0,1392077346.0,"6,2,4,1"
1392077347.0,1392077347.0,"6,2,4,3,1"
1392077347.0,1392077347.0,"6,2,4,1"
1392077348.0,1392077348.0,"6,2,4,3,1"
1392077348.0,1392077348.0,"6,2,4,1"
1392077349.0,1392077349.0,"6,2,4,3,1"
1392077349.0,1392077349.0,"6,2,4,1"
1392077350.0,1392077350.0,"6,2,4,3,1"
1392077350.0,1392077350.0,"6,2,4,1"
1392077351.0,1392077351.0,"6,2,4,3,1"
1392077351.0,1392077351.0,"6,2,4,1"
1392077352.0,1392077352.0,"6,2,4,3,1"
1392077352.0,1392077352.0,"6,2,4,1"
1392077353.0,1392077353.0,"6,2,4,3,1"
1392077353.0,1392077353.0,"6,2,4,1"
1392077354.0,1392077354.0,"6,2,4,3,1"
1392077354.0,1392077354.0,"6,2,4,1"
1392077355.0,1392077355.0,"6,2,4,3,1"
1392077355.0,1392077355.0,"6,2,4,1"
1392077356.0,1392077356.0,"6,2,4,3,1"
1392077356.0,1392077356.0,"6,2,4,1"
1392077357.0,1392077357.0,"6,2,4,3,1"
1392077357.0,1392077357.0,"6,2,4,1"
1392077358.0,1392077358.0,"6,2,4,3,1"
1392077358.0,1392077358.0,"6,2,4,1"
1392077359.0,1392077359.0,"6,2,4,3,1"
1392077359.0,1392077359.0,"6,2,4,1"
1392077360.0,1392077360.0,"6,2,4,3,1"
1392077360.0,1392077360.0,"6,2,4,1"
1392077361.0,1392077361.0,"6,2,4,3,1"
1392077361.0,1392077361.0,"6,2,4,1"
1392077362.0,1392077362.0,"6,2,4,3,1"
1392077362.0,1392077362.0,"6,2,4,1"
1392077363.0,1392077363.0,"6,2,4,3,1"
1392077363.0,1392077363.0,"6,2,4,1"
1392077364.0,1392077364.0,"6,2,4,3,1"
1392077364.0,1392077364.0,"6,2,4,1"
1392077365.0,1392077365.0,"6,2,4,3,1"
1392077365.0,1392077365.0,"6,2,4,1"
1392077366.0,1392077366.0,"6,2,4,3,1"
1392077366.0,1392077366.0,"6,2,4,1"
1392077367.0,1392077367.0,"6,2,4,3,1"
1392077367.0,1392077367.0,"6,2,4,1"
1392077368.0,1392077368.0,"6,2,4,3,1"
1392077368.0,1392077368.0,"6,2,4,1"
1392077369.0,1392077369.0,"6,2,4,3,1"
1392077369.0,1392077369.0,"6,2,4,1"
1392077370.0,1392077370.0,"6,2,4,3,1"
1392077370.0,1392077370.0,"6,2,4,1"
1392077371.0,1392077371.0,"6,2,4,3,1"
1392077371.0,1392077371.0,"6,2,4,1"
1392077372.0,1392077372.0,"6,2,4,3,1"
1392077372.0,1392077372.0,"6,2,4,1"
1392077373.0,1392077373.0,"6,2,4,3,1"
1392077373.0,1392077373.0,"6,2,4,1"
1392077374.0,1392077374.0,"6,2,4,3,1"
1392077374.0,1392077374.0,"6,2,4,1"
1392077375.0,1392077375.0,"6,2,4,3,1"
1392077375.0,1392077375.0,"6,2,4,1"
1392077376.0,1392077376.0,"6,2,4,3,1"
