start_time,end_time,room_set
1392085017.0,1392085017.0,"6,2,4,1"
1392085018.0,1392085018.0,"6,2,4,3,1"
1392085018.0,1392085018.0,"6,2,4,1"
1392085019.0,1392085019.0,"6,2,4,3,1"
1392085019.0,1392085019.0,"6,2,4,1"
1392085020.0,1392085020.0,"6,2,4,3,1"
1392085020.0,1392085020.0,"6,2,4,1"
1392085021.0,1392085021.0,"6,2,4,3,1"
1392085021.0,1392085021.0,"6,2,4,1"
1392085022.0,1392085022.0,"6,2,4,3,1"
1392085022.0,1392085022.0,"6,2,4,1"
1392085023.0,1392085023.0,"6,2,4,3,1"
1392085023.0,1392085023.0,"6,2,4,1"
1392085024.0,1392085024.0,"6,2,4,3,1"
1392085024.0,1392085024.0,"6,2,4,1"
1392085025.0,1392085025.0,"6,2,4,3,1"
1392085025.0,1392085025.0,"6,2,4,1"
1392085026.0,1392085026.0,"6,2,4,3,1"
1392085026.0,1392085026.0,"6,2,4,1"
1392085027.0,1392085027.0,"6,2,4,3,1"
1392085027.0,1392085027.0,"6,2,4,1"
1392085028.0,1392085028.0,"6,2,4,3,1"
1392085028.0,1392085028.0,"6,2,4,1"
1392085029.0,1392085029.0,"6,2,4,3,1"
1392085029.0,1392085029.0,"6,2,4,1"
1392085030.0,1392085030.0,"6,2,4,3,1"
1392085030.0,1392085030.0,"6,2,4,1"
1392085031.0,1392085031.0,"6,2,4,3,1"
1392085031.0,1392085031.0,"6,2,4,1"
1392085032.0,1392085032.0,"6,2,4,3,1"
1392085032.0,1392085032.0,"6,2,4,1"
1392085033.0,1392085033.0,"6,2,4,3,1"
1392085033.0,1392085033.0,"6,2,4,1"
1392085034.0,1392085034.0,"6,2,4,3,1"
1392085034.0,1392085034.0,"6,2,4,1"
1392085035.0,1392085035.0,"6,2,4,3,1"
1392085035.0,1392085035.0,"6,2,4,1"
1392085036.0,1392085036.0,"6,2,4,3,1"
1392085036.0,1392085036.0,"6,2,4,1"
1392085037.0,1392085037.0,"6,2,4,3,1"
1392085037.0,1392085037.0,"6,2,4,1"
1392085038.0,1392085038.0,"6,2,4,3,1"
1392085038.0,1392085038.0,"6,2,4,1"
1392085039.0,1392085039.0,"6,2,4,3,1"
1392085039.0,1392085039.0,"6,2,4,1"
1392085040.0,1392085040.0,"6,2,4,3,1"
1392085040.0,1392085040.0,"6,2,4,1"
1392085041.0,1392085041.0,"6,2,4,3,1"
1392085041.0,1392085041.0,"6,2,4,1"
1392085042.0,1392085042.0,"6,2,4,3,1"
1392085042.0,1392085042.0,"6,2,4,1"
1392085043.0,1392085043.0,"6,2,4,3,1"
1392085043.0,1392085043.0,"6,2,4,1"
1392085044.0,1392085044.0,"6,2,4,3,1"
1392085044.0,1392085044.0,"6,2,4,1"
1392085045.0,1392085045.0,"6,2,4,3,1"
1392085045.0,1392085045.0,"6,2,4,1"
1392085046.0,1392085046.0,"6,2,4,3,1"
1392085046.0,1392085046.0,"6,2,4,1"
1392085047.0,1392085047.0,"6,2,4,3,1"
1392085047.0,1392085047.0,"6,2,4,1"
1392085048.0,1392085048.0,"6,2,4,3,1"
1392085048.0,1392085048.0,"6,2,4,1"
1392085049.0,1392085049.0,"6,2,4,3,1"
1392085049.0,1392085049.0,"6,2,4,1"
1392085050.0,1392085050.0,"6,2,4,3,1"
1392085050.0,1392085050.0,"6,2,4,1"
1392085051.0,1392085051.0,"6,2,4,3,1"
1392085051.0,1392085051.0,"6,2,4,1"
1392085052.0,1392085052.0,"6,2,4,3,1"
1392085052.0,1392085052.0,"6,2,4,1"
1392085053.0,1392085053.0,"6,2,4,3,1"
1392085053.0,1392085053.0,"6,2,4,1"
1392085054.0,1392085054.0,"6,2,4,3,1"
1392085054.0,1392085054.0,"6,2,4,1"
1392085055.0,1392085055.0,"6,2,4,3,1"
1392085055.0,1392085055.0,"6,2,4,1"
1392085056.0,1392085056.0,"6,2,4,3,1"
1392085056.0,1392085056.0,"6,2,4,1"
1392085057.0,1392085057.0,"6,2,4,3,1"
1392085057.0,1392085057.0,"6,2,4,1"
1392085058.0,1392085058.0,"6,2,4,3,1"
1392085058.0,1392085058.0,"6,2,4,1"
1392085059.0,1392085059.0,"6,2,4,3,1"
1392085059.0,1392085059.0,"6,2,4,1"
1392085060.0,1392085060.0,"6,2,4,3,1"
1392085060.0,1392085060.0,"6,2,4,1"
1392085061.0,1392085061.0,"6,2,4,3,1"
1392085061.0,1392085061.0,"6,2,4,1"
1392085062.0,1392085062.0,"6,2,4,3,1"
1392085062.0,1392085062.0,"6,2,4,1"
1392085063.0,1392085063.0,"6,2,4,3,1"
1392085063.0,1392085063.0,"6,2,4,1"
1392085064.0,1392085064.0,"6,2,4,3,1"
1392085064.0,1392085064.0,"6,2,4,1"
1392085065.0,1392085065.0,"6,2,4,3,1"
1392085065.0,1392085065.0,"6,2,4,1"
1392085066.0,1392085066.0,"6,2,4,3,1"
1392085066.0,1392085066.0,"6,2,4,1"
1392085067.0,1392085067.0,"6,2,4,3,1"
1392085067.0,1392085067.0,"6,2,4,1"
1392085068.0,1392085068.0,"6,2,4,3,1"
1392085068.0,1392085068.0,"6,2,4,1"
1392085069.0,1392085069.0,"6,2,4,3,1"
1392085069.0,1392085069.0,"6,2,4,1"
1392085070.0,1392085070.0,"6,2,4,3,1"
1392085070.0,1392085070.0,"6,2,4,1"
1392085071.0,1392085071.0,"6,2,4,3,1"
1392085071.0,1392085071.0,"6,2,4,1"
1392085072.0,1392085072.0,"6,2,4,3,1"
1392085072.0,1392085072.0,"6,2,4,1"
1392085073.0,1392085073.0,"6,2,4,3,1"
1392085073.0,1392085073.0,"6,2,4,1"
1392085074.0,1392085074.0,"6,2,4,3,1"
1392085074.0,1392085074.0,"6,2,4,1"
1392085075.0,1392085075.0,"6,2,4,3,1"
1392085075.0,1392085075.0,"6,2,4,1"
1392085076.0,1392085076.0,"6,2,4,3,1"
1392085076.0,1392085076.0,"6,2,4,1"
1392085077.0,1392085077.0,"6,2,4,3,1"
1392085077.0,1392085077.0,"6,2,4,1"
1392085078.0,1392085078.0,"6,2,4,3,1"
1392085078.0,1392085078.0,"6,2,4,1"
1392085079.0,1392085079.0,"6,2,4,3,1"
1392085079.0,1392085079.0,"6,2,4,1"
1392085080.0,1392085080.0,"6,2,4,3,1"
1392085080.0,1392085080.0,"6,2,4,1"
1392085081.0,1392085081.0,"6,2,4,3,1"
1392085081.0,1392085081.0,"6,2,4,1"
1392085082.0,1392085082.0,"6,2,4,3,1"
1392085082.0,1392085082.0,"6,2,4,1"
1392085083.0,1392085083.0,"6,2,4,3,1"
1392085083.0,1392085083.0,"6,2,4,1"
1392085084.0,1392085084.0,"6,2,4,3,1"
1392085084.0,1392085084.0,"6,2,4,1"
1392085085.0,1392085085.0,"6,2,4,3,1"
1392085085.0,1392085085.0,"6,2,4,1"
